ID	TEsorter	EDTA	Final
1A_TE_00000000	Unknown	unknown	unknown
1A_TE_00000001	Unknown	unknown	unknown
1A_TE_00000002	Unknown	unknown	unknown
1A_TE_00000003	Unknown	unknown	unknown
1A_TE_00000004	Unknown	unknown	unknown
1A_TE_00000005	Unknown	unknown	unknown
1A_TE_00000006	Unknown	unknown	unknown
1A_TE_00000007	Unknown	unknown	unknown
1A_TE_00000008	Unknown	unknown	unknown
1A_TE_00000009	Unknown	unknown	unknown
1A_TE_00000010	Unknown	unknown	unknown
1A_TE_00000011	Unknown	unknown	unknown
1A_TE_00000012	Unknown	unknown	unknown
1A_TE_00000013	Unknown	unknown	unknown
1A_TE_00000014	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000015	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000016	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000017	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000018_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000019_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000020_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000020_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000021_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000022	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000023_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000024_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000025	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000026	TIR/EnSpm_CACTA	DNA/DTC	TIR/EnSpm_CACTA
1A_TE_00000027	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000028_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000029_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000030	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000031	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000032_INT	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000033_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000034	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000035	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000036_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000037	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000038	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000039	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000040	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000041	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000042	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000043	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000044	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000045_INT	LTR/Gypsy/Tekay	LTR/Gypsy	LTR/Gypsy/Tekay
1A_TE_00000045_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000046_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000047_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000048	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000049	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000050	Unknown	MITE/DTM	MITE/DTM
1A_TE_00000051_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000052	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000053	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000054	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000055_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000055_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000056	Unknown	MITE/DTC	MITE/DTC
1A_TE_00000057_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000058	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000059	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000060	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000061	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000062_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000062_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000063	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000064_INT	LTR/Copia/Ale	LTR/Copia	LTR/Copia/Ale
1A_TE_00000065_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000066	TIR/PIF_Harbinger	DNA/DTH	TIR/PIF_Harbinger
1A_TE_00000067_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000068	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000069_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000070_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000071	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000072_INT	LTR/Gypsy		LTR/Gypsy
1A_TE_00000073_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000074	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000075	TIR/MuDR_Mutator	DNA/DTM	TIR/MuDR_Mutator
1A_TE_00000076_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000077_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000078_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000079_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000080	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000081_INT	LTR/Gypsy/Tekay	LTR/Gypsy	LTR/Gypsy/Tekay
1A_TE_00000081_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000082_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000083_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000083_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000084_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000084_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000085	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000086	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000087	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000088_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000089	Unknown	MITE/DTH	MITE/DTH
1A_TE_00000090	TIR/PIF_Harbinger	DNA/DTH	TIR/PIF_Harbinger
1A_TE_00000091_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000092_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000093_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000094_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000095_LTR	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000096_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000097_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000097_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000098_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000099	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000100_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000101	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000102_LTR	LTR/Gypsy	LTR/unknown	LTR/Gypsy
1A_TE_00000103	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000104_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000105	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000106	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000107_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000108	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000109_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000110_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000111_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000112_INT	LTR/Gypsy	LTR/unknown	LTR/Gypsy
1A_TE_00000112_LTR	LTR/Gypsy	LTR/unknown	LTR/Gypsy
1A_TE_00000113_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000114	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000115_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000115_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000116_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000117	Unknown	MITE/DTT	MITE/DTT
1A_TE_00000118	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000119	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000120	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000121_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000122	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000123_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000124	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000125	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000126	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000127_INT	LTR/Copia/SIRE	LTR/Copia	LTR/Copia/SIRE
1A_TE_00000128_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000129_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000130	Unknown	MITE/DTC	MITE/DTC
1A_TE_00000131_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000132_INT	LTR/Copia		LTR/Copia
1A_TE_00000133_INT	LTR/Copia/Ale	LTR/Copia	LTR/Copia/Ale
1A_TE_00000133_LTR	LINE	LTR/Copia	LINE
1A_TE_00000134	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000135_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000136_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000137	TIR/EnSpm_CACTA	DNA/DTC	TIR/EnSpm_CACTA
1A_TE_00000138_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000139_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000140	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000141_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000142	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000143_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000144_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000145_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000145_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000146	Unknown	DNA/Helitron	DNA/Helitron
1A_TE_00000147	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000148_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000149_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000150	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000151	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000152_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000152_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000153_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000154_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000155_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000156	Unknown	MITE/DTH	MITE/DTH
1A_TE_00000157	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000158	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000159	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000160	LINE	DNA/DTT	LINE
1A_TE_00000161	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000162	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000163_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000164	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000165_INT	LTR/Copia/Ivana	LTR/Copia	LTR/Copia/Ivana
1A_TE_00000165_LTR	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000166	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000167_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000168	Unknown	DNA/DTA	DNA/DTA
1A_TE_00000169	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000170_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000171	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000172_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000173	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000174	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000175_INT	LTR/Gypsy/Reina	LTR/Gypsy	LTR/Gypsy/Reina
1A_TE_00000175_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000176_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000177	Unknown	DNA/DTM	DNA/DTM
1A_TE_00000178	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000179_LTR	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000180_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000181	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000182_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000183_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000184_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000185_INT	LTR/Gypsy/Tekay	LTR/Gypsy	LTR/Gypsy/Tekay
1A_TE_00000186_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000187_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000188_INT	LTR/Gypsy/Retand	LTR/Gypsy	LTR/Gypsy/Retand
1A_TE_00000189_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000190_LTR	LTR/Copia		LTR/Copia
1A_TE_00000191_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000192_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000193	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000194	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000195	Unknown	DNA/DTT	DNA/DTT
1A_TE_00000196_LTR	LTR/Gypsy		LTR/Gypsy
1A_TE_00000197_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000198_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000199	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000200	Unknown	MITE/DTH	MITE/DTH
1A_TE_00000201_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000202_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000203_INT	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000204_LTR	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000205_LTR	Unknown	LTR/Gypsy	LTR/Gypsy
1A_TE_00000206	Unknown	DNA/DTH	DNA/DTH
1A_TE_00000207_INT	Unknown	LTR/Copia	LTR/Copia
1A_TE_00000208_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000209	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000210	Unknown	DNA/DTC	DNA/DTC
1A_TE_00000211_INT	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000212_LTR	Unknown	LTR/unknown	LTR/unknown
1A_TE_00000213	Unknown	DNA/DTM	DNA/DTM
